yield,debt,total,roa,class
0,98.08,-9.82,-8.98,1
0,97.38,4.36,0.41,1
0,97.38,4.36,0.41,1
1.46,96.89,4.49,0.48,2
0,96.78,28.52,-0.78,1
0,95.03,2.12,0.69,1
3.75,94.88,7.32,0.69,3
5.82,94.63,6.58,0.83,4
9.85,94.56,6.63,0.79,6
6.64,94.51,4.44,1.2,4
6.35,94.4,7.56,1.16,4
4.2,94.39,6.55,0.81,3
0,94.28,-16.23,-9.38,1
6.88,93.96,9.95,0.86,4
4.37,93.74,6.13,1.66,3
1.71,93.54,1.02,0.23,2
4.63,93.52,6.14,1.33,3
4.86,93.52,8.05,0.89,3
5.43,93.5,4.57,0.71,4
4.8,93.27,6.28,1.28,3
5.08,93.2,7.05,1.13,4
5.52,92.87,9.81,0.75,4
3.98,92.79,3.14,1.5,3
3.86,92.65,4.9,2.41,3
2.91,92.59,18.51,1.44,2
8,92.57,7.02,0.73,5
6.25,92.48,11.14,0.91,4
4.59,92.36,8.22,1.22,3
0,91.35,-1.74,-2.13,1
0,91.29,-5.09,3.34,1
6.04,91.28,8.66,1.04,4
0,91.19,7.96,0.65,1
4.5,90.66,8.56,1.05,3
4.71,90.65,9.37,1.34,3
2.57,90.07,-3.12,0.46,2
3.85,89.95,4.21,1.14,3
0,89.71,-6.98,1.57,1
0,89.39,9.4,-10.84,1
1.82,89.3,13.94,0.54,2
4.83,88.79,7.08,1.69,3
2.2,88.77,0.1,0.1,2
3.07,88.58,2.08,2.19,3
0,88.09,-15.89,-20.17,1
0,87.95,0.67,0.63,1
0,87.77,25.43,-7.84,1
3.13,87.19,22.23,1.34,3
1.19,87.17,10.37,0.05,2
8.24,87.12,0.25,2.1,5
0,87.05,15.56,-10.01,1
7.51,86.96,1.15,2.33,5
3.28,86.85,9.57,2.16,3
7.97,86.59,1.56,1.79,5
0,86,38.51,-0.09,1
0,85.99,60.12,3.88,1
3.65,85.61,5.36,1.74,3
0,85.52,6.12,1.94,1
6.73,85.46,-1.41,2.07,4
0,85.14,14.33,-1.01,1
0,85.09,-4.58,-58.59,1
0,85.01,-22.09,-30.05,1
0.6,84.64,9.97,0.4,1
10.14,84.02,-13.5,5.12,6
5.89,83.86,10.52,2.36,4
0,83.8,-0.52,0.73,1
4.04,83.34,-6.17,-0.03,3
0,83.02,-15.74,-9.62,1
2.46,82.92,17.33,-5.28,2
0,82.91,31.34,-0.68,1
0,82.91,-8.1,-0.31,1
3.47,82.69,7.54,2.67,3
4.76,82.45,3.91,1.24,3
8.13,82.44,28.86,2.64,5
1.72,82.37,7.99,1.23,2
0,82.34,-3.55,-6.58,1
3.32,82.29,0.54,1.95,3
0,81.92,-24.24,-15.02,1
2.78,81.43,-5.56,0.86,2
3.34,81.41,10.35,5.21,3
0,81.39,-19.72,-9.47,1
5.67,81.32,-7.55,3.18,4
6.27,81.31,38.11,8.38,4
7.39,81.08,29.82,2.52,5
1.85,80.97,0.99,0.57,2
0,80.63,-16.04,-24.11,1
2.77,80.49,5.27,-0.03,2
6.72,80.49,39.61,2.69,4
2.88,80.47,25.63,4.58,2
0,80.43,63.64,-9.61,1
0,80.27,5.04,-5.34,1
3.25,80.15,-0.72,2.64,3
0,79.71,9.27,-0.99,1
4.9,79.41,18.22,2.53,3
2.82,79.33,19.51,6.42,2
0,79.07,-4.51,-8.8,1
1.87,78.92,29.43,4.23,2
0,78.83,-4.85,-4.66,1
0,78.72,20.72,-7.23,1
5.34,78.67,5.96,1.46,4
1.12,78.39,13.91,3.15,2
6.35,78.15,8.78,2.11,4
2.57,78.13,4.65,2.8,2
0,77.98,14.71,-2.32,1
8.27,77.85,12.46,2.72,5
0,77.65,-7.64,-3.02,1
3.82,77.57,3.36,4.82,3
7.33,77.36,13.88,4.18,5
7.03,77.32,16.26,2.14,5
0,77.21,7.07,2.63,1
0,77.16,8.01,4.01,1
6.72,77.15,48.24,2.47,4
1.87,77.11,7.58,2.15,2
0,76.7,-11.11,-12.51,1
0,76.59,-62.29,-22.05,1
0,76.56,24.72,11.22,1
7.06,76.44,9.98,3.53,5
7.06,76.44,9.98,3.53,5
0,76.13,-16.61,-36.3,1
0,75.99,13.36,-1.87,1
3.54,75.98,7.33,1.57,3
4.27,75.94,31.71,5,3
2.05,75.87,16.94,0.79,2
0,75.62,12.02,-0.94,1
3.82,75.44,5.43,10.07,3
1.65,75.41,12.27,1.58,2
5.5,75.34,57.58,8.25,4
1.45,75.3,11.59,1.19,2
0,75.28,-9.98,-14.83,1
0,75.25,1.47,-7.11,1
0,75.11,11.53,0.11,1
6.02,75.11,-5.78,2.97,4
4.76,74.87,3.81,3,3
2.84,74.86,2.35,2.88,2
6.78,74.84,31.16,4.81,4
0,74.77,4.85,-6.78,1
0,74.75,3.59,0.51,1
0,74.75,-0.19,-0.28,1
3.7,74.73,0.76,3.91,3
3.62,74.7,9.49,3.4,3
0,74.59,-10.22,-5.08,1
2.24,74.4,99.08,3.58,2
0,74.37,2.33,-1.09,1
1.19,74.18,7.21,3.6,2
0,74.16,4.74,-0.39,1
0,74,-2.45,-3.66,1
8.47,73.88,15.48,6.71,5
0,73.83,24.22,-6.32,1
5.79,73.8,-9.21,3.06,4
6.49,73.75,-12.58,4.58,4
2.76,73.68,15.7,0.12,2
2.58,73.62,-7.98,1.06,2
10.04,73.61,-6.53,5.73,6
1.74,73.55,-4.03,-0.56,2
1.45,73.51,-6.29,0.93,2
3.19,73.4,-1.08,2.24,3
7.81,73.25,38.81,11.79,5
3.95,73.2,6.47,6.13,3
4.29,73.08,-0.58,3.2,3
0,73.07,0.92,-4.23,1
2.94,72.95,-3.4,1.28,2
0,72.9,-4.41,-8.48,1
1.75,72.87,32.46,6.4,2
5.87,72.64,-3.02,2.58,4
5.42,72.61,34.56,2.63,4
0,72.33,-4.09,-6.47,1
3.92,72.33,7.88,5.01,3
10.63,72.28,12.74,6.95,6
0,72.27,-22.59,-14.77,1
1.76,72.13,73.96,0.53,2
0.18,72,-0.34,1.59,1
6.46,72,5.43,3.27,4
6.27,71.99,14.7,9.54,4
4.01,71.9,-15.44,5.45,3
6.07,71.62,4.15,2.27,4
0,71.61,15.22,1,1
2.8,71.59,-5.51,1.71,2
2.61,71.54,4.5,4.29,2
0.28,71.46,11.07,0.54,1
0,71.44,-8.59,-5.87,1
5.46,71.37,10.89,6.98,4
0.73,70.77,49.42,2.1,1
0,70.75,-6.89,-11.95,1
2.56,70.73,19.32,0.23,2
6.73,70.69,18.04,-0.38,4
4.03,70.68,20.76,4.63,3
1.67,70.58,5.93,0.54,2
1.82,70.39,-6.99,2.74,2
0,70.29,-19.19,-68.06,1
0,70.13,1.2,-1.26,1
0.25,70.02,-2.34,-3.98,1
5.85,69.97,10.08,8.88,4
5.87,69.9,4.04,3.49,4
6.25,69.78,8.72,3.6,4
1.35,69.62,11.9,3.06,2
0,69.61,2.89,23.09,1
3.01,69.6,-3.69,2.25,3
6.44,69.58,-0.5,6.35,4
2.19,69.57,-11.66,-1,2
0,69.39,8.89,6.78,1
2.24,69.37,53.27,1.59,2
0,69.3,-11.4,-13.54,1
6.75,69.3,-1.89,4.03,4
0,69.28,-6.09,-16.79,1
0,69.26,-2.42,-4.33,1
5.41,69.26,-22.14,7.22,4
0,69.24,-10.89,-0.16,1
4.47,69.23,11.39,6.47,3
1.73,69.22,12.12,4.54,2
2.75,69.16,7.34,1.42,2
0,69.15,-43.74,-24.76,1
