eps,debt,roa,quick
-17.4,66.37,-35.54,76.94
-16.58,70.29,-68.06,107.53
-14.97,76.13,-36.3,85.61
-13.09,13.67,-37.28,988.35
-12.32,474.53,-166.22,11.51
-10.66,79.07,-8.8,20.38
-10.66,65.65,-57.07,88.49
-9.97,34.79,-3.44,117.94
-9.29,4.66,-39.31,"2,369.28"
-9.02,23.33,-11.07,235.77
-8.82,34.88,-11.48,139.59
-8.75,36.93,-53.94,114.62
-8.62,16.7,-32.59,"1,247.24"
-8.14,33.14,-65.47,301.48
-8.11,52.92,-4.63,168.54
-7.18,16.87,-19.78,114.43
-7,42.47,-39.54,84.21
-6.98,82.34,-6.58,38.18
-6.84,2.37,-50.65,"4,043.2"
-6.83,33.36,-11.55,251.83
-6.73,91.59,-10.55,48.73
-6.64,52.83,-47.2,118.3
-6.38,10.33,-18.36,651.03
-6.25,15.05,-62.36,601.07
-6.13,63.03,-7.96,122.84
-6.04,41.6,-11.77,133.36
-5.9,48.52,-19.15,123.12
-5.77,40.15,-153.31,226.79
-5.76,85.09,-58.59,83.89
-5.73,69.28,-16.79,44.2
-5.64,40.83,-26.3,95.63
-5.64,9.13,-20.81,610.81
-5.54,64.85,-14.16,113.71
-5.35,30.44,-14.04,190.67
-5.24,11.97,-34.03,"2,405.31"
-5.13,43.85,-5.01,194.84
-5.01,68.85,-1.66,81.27
-4.84,31.14,-15.1,151.51
-4.79,81.27,-48.27,50.88
-4.78,14.95,-19.52,324.23
-4.76,81.92,-15.02,17.29
-4.68,46.06,-29.31,82.43
-4.58,62.73,-6.61,104.07
-4.58,25.66,-53.79,390.57
-4.58,6.3,-26.96,928.26
-4.57,11.72,-20.66,"1,700.19"
-4.56,12.74,-26.26,806.07
-4.52,50.79,-10.82,35.42
-4.36,45.18,-6.34,97.57
-4.34,16.27,-38.64,208.06
-4.32,83.02,-9.62,43.31
-4.26,57.48,-6.63,89.71
-4.26,20.1,-27.88,279.48
-4.25,23.42,-36.46,386.35
-4.2,61.67,-3.76,50.81
-4.14,64.81,-9.33,98.38
-4.12,32.55,-11.41,111.6
-4.09,49.97,-6.28,105.15
-4.06,70.75,-11.95,125.46
-4.05,47.15,-71.02,83.98
-4.04,12.67,-16.99,471.76
-4.03,41.4,-15.71,178.75
-4.01,66.37,-15.16,114.89
-3.97,87.77,-7.84,7.5
-3.95,56.14,-32.58,111.19
-3.94,2.24,-19.3,"5,048.17"
-3.85,81.39,-9.47,67.5
-3.85,20.32,-44.82,364.12
-3.83,76.7,-12.51,41.91
-3.81,34.88,-25.48,441.88
-3.76,74.77,-6.78,43.32
-3.76,60.87,-18.79,133.95
-3.76,47.81,26.91,155.76
-3.75,82.92,-5.28,32.88
-3.75,49.51,-2.97,151.53
-3.71,49.91,-12.81,177.59
-3.7,66.62,-5.2,110.33
