yield,net_profit,net_worth,debt_ratio
0,-1.29,-18.06,118.06
0,-0.41,0.22,99.78
0,-6.25,1.39,98.61
0,-1.69,1.78,98.22
1.2,2.51,3.38,96.62
0,-0.47,3.47,96.53
0,-3.8,5.3,94.7
3.21,2.12,6.59,93.41
0,0.08,8.71,91.29
2.27,0.76,10.22,89.78
3.04,3.16,10.54,89.46
6.32,-0.04,11.01,88.99
2.02,0.2,11.37,88.63
0,-2.34,11.37,88.63
0.99,-0.9,11.57,88.43
0,2.1,11.91,88.09
3.56,2.18,12.26,87.74
0,-1.74,12.74,87.26
0,-3.57,12.99,87.01
4.08,3.9,13.01,86.99
0,-0.39,13.18,86.82
0,-0.48,13.21,86.79
0,5.67,13.58,86.42
2.3,-2.05,14.32,85.68
0,1.2,14.39,85.61
0,-0.5,15.49,84.51
0.63,0.23,15.5,84.5
0,1.76,15.58,84.42
3.65,1.97,15.61,84.39
0,-0.18,16.64,83.36
5.52,7.4,16.65,83.35
1.26,5.25,16.67,83.33
0,-0.55,16.7,83.3
4.38,0.55,16.8,83.2
1.41,-0.72,17.07,82.93
3.29,6.06,17.14,82.86
4.36,6.49,17.19,82.81
3.36,0.66,17.31,82.69
5.58,-0.21,17.52,82.48
1.8,1.75,17.59,82.41
3.87,1.32,18.02,81.98
2.15,-0.24,18.54,81.46
0,-0.1,18.82,81.18
0,-0.53,19.12,80.88
0,-1.48,19.2,80.8
6.37,2.07,19.3,80.7
2.83,0.44,19.41,80.59
2.49,0.23,19.5,80.5
2.37,-0.19,19.5,80.5
0,2.68,19.61,80.39
0,-4.38,19.81,80.19
5.75,1.55,20.2,79.8
3.22,21.1,20.3,79.7
2.97,0.65,20.33,79.67
0,0.35,20.55,79.45
1.04,-0.5,20.63,79.37
0,-0.75,20.67,79.33
3.1,0.43,20.72,79.28
1.13,5.43,20.73,79.27
3.7,2.56,20.87,79.13
4.74,2.48,20.87,79.13
4.23,12.3,20.95,79.05
5.65,13.08,20.98,79.02
0,-1.62,21.07,78.93
0,-0.87,21.09,78.91
0,0.13,21.27,78.73
2.69,0.81,21.64,78.36
0,0.18,21.92,78.08
0,-0.81,22.37,77.63
0,-0.24,22.57,77.43
0,1.14,22.58,77.42
3.3,0.49,22.6,77.4
1.91,2.01,22.65,77.35
7.7,2.6,22.73,77.27
4.11,4.28,22.95,77.05
3.54,4.26,22.97,77.03
2.1,1.96,23.07,76.93
0,0.24,23.13,76.87
0,-2.59,23.13,76.87
4.22,1.13,23.15,76.85
1.81,2.41,23.18,76.82
2.82,3.78,23.19,76.81
4.35,5.31,23.25,76.75
0,-0.75,23.38,76.62
0,-0.34,24.07,75.93
0,0.66,24.14,75.86
5.25,1.15,24.19,75.81
0,-0.23,24.19,75.81
3.9,1.69,24.36,75.64
5.77,1.33,24.36,75.64
1.94,-2.62,24.38,75.62
1.45,2.77,24.44,75.56
5.9,0.85,24.56,75.44
0,-0.43,24.79,75.21
1.09,1.3,24.81,75.19
2.85,0.63,24.81,75.19
0,-0.42,24.83,75.17
0,-0.43,24.98,75.02
0.37,0.63,25.1,74.9
4.38,1.73,25.12,74.88
5.1,12.13,25.14,74.86
0,0.44,25.17,74.83
5.07,1.81,25.46,74.54
1.12,0.51,25.5,74.5
0,0.14,25.61,74.39
0,0.51,25.67,74.33
