Yield,Current_ratio,Class
0,15.63,1
0,16.6,1
0.94,17.88,1
3.15,24.59,2
0,30.96,1
0,33.59,1
0,35.85,1
6.37,41.22,2
3.26,46.17,2
0,46.66,1
0,47.22,1
2.91,48.61,2
1.38,50.33,1
0,50.36,1
3.86,53.18,2
1.94,53.21,2
4.71,53.42,2
1.8,54.59,2
0,58.7,1
0,60.15,1
0,60.51,1
1.91,61.96,2
2.95,62.09,2
1.16,63.59,1
0,65.13,1
0,66.81,1
0,68.34,1
4.04,69.39,2
0,69.84,1
0,69.98,1
2.87,73.17,2
0,75.92,1
0,75.99,1
5.07,77.18,2
2.87,78.49,2
0,78.73,1
2.13,80.13,2
0,81.11,1
0,81.26,1
3.67,81.41,2
6.35,82.34,2
5.21,83.07,2
3.22,83.99,2
3.29,84.17,2
0.76,84.4,1
0,84.6,1
3.45,84.68,2
2.62,85.31,2
0,85.67,1
6.19,85.67,2
5.51,86.15,2
5.07,87.04,2
2.37,87.32,2
3.36,87.35,2
2.91,87.89,2
2.37,88.43,2
0,88.45,1
0,89,1
2.74,89.5,2
6.42,89.68,2
2.77,89.77,2
0,90.54,1
0,92.25,1
3.69,92.81,2
1.79,92.98,2
1.42,93.64,1
3.85,93.93,2
0.16,94.42,1
0,94.45,1
3.57,95.85,2
4.56,95.91,2
2.27,96.86,2
0,97.18,1
1.04,97.37,1
3.95,98.98,2
1.81,99.52,2
3.83,99.67,2
3.1,99.84,2
3.22,100.34,2
1.83,100.42,2
0.8,100.6,1
0,100.7,1
4.08,100.96,2
0,101.07,1
3.95,101.16,2
0,101.4,1
2.95,102.13,2
3.3,102.74,2
0,102.9,1
5.06,102.99,2
2.5,103.01,2
3.44,103.35,2
2.1,103.67,2
3.79,103.71,2
6.24,103.81,2
1.9,104.43,2
2.62,104.63,2
3.56,104.67,2
3.8,104.7,2
0,104.79,1
2.9,104.96,2
1.44,106.24,1
1.81,106.32,2
3.42,106.38,2
4.72,106.6,2
1.82,106.9,2
2.6,107.21,2
5.3,107.89,2
2.73,108.17,2
3.87,108.62,2
4.03,108.73,2
4.45,108.98,2
0.53,109.06,1
1.76,109.09,2
0,109.7,1
2.78,110.33,2
1.48,110.69,1
3.07,110.85,2
0,111.03,1
6.09,111.37,2
1.56,111.77,1
3.05,111.87,2
0,111.91,1
5.88,112.24,2
0,112.45,1
6.6,112.95,2
0,113.12,1
2.69,113.22,2
5.52,113.88,2
3.66,113.98,2
0,114.01,1
1.51,114.16,1
3.93,114.19,2
3.92,114.27,2
0,114.76,1
3.44,115.08,2
0,115.29,1
4.48,115.6,2
4.36,115.81,2
0.57,116.22,1
0,116.52,1
1.26,117.08,1
2.93,117.4,2
3.08,117.47,2
2.11,117.73,2
3.12,117.88,2
0,118.54,1
0.73,118.64,1
3.12,118.76,2
0,118.92,1
1.13,119.07,1
3.65,119.38,2
1.46,119.4,1
3.03,119.97,2
5.65,120.23,2
2.49,120.26,2
2.63,120.44,2
0,120.45,1
2.45,120.53,2
0,120.58,1
3.2,120.94,2
1.75,121.12,2
0,121.23,1
3.68,121.38,2
0.9,121.89,1
0,122.1,1
4.07,122.11,2
5.15,122.12,2
4.87,122.67,2
3.28,122.77,2
2.88,122.9,2
3.03,123.07,2
1.5,123.44,1
3.13,123.78,2
6.32,123.79,2
0.99,123.88,1
0,124.03,1
3.05,124.09,2
2.98,124.42,2
6.45,124.45,2
3.33,124.6,2
3.93,124.68,2
2.43,124.72,2
0,124.84,1
0,124.92,1
0,125.11,1
3.54,125.15,2
0,125.16,1
1.12,125.25,1
0.63,125.27,1
0,125.45,1
2.83,126.27,2
0,126.35,1
0,126.36,1
5.39,126.57,2
1.27,126.72,1
4.31,127.02,2
0,127.16,1
3.79,127.7,2
1.91,127.93,2
2.82,128.13,2
0,128.18,1
2.9,128.22,2
4.32,128.49,2
2.24,128.57,2
4.87,128.78,2
1.13,128.91,1
5.43,129.12,2
0,129.29,1
3.12,129.39,2
3.9,129.42,2
1.95,129.7,2
5.6,129.72,2
3.46,130.05,2
5.33,130.29,2
4.09,130.45,2
4.84,130.8,2
2.77,130.83,2
2.79,130.87,2
0,131.13,1
0,131.3,1
4.11,131.33,2
0,131.35,1
0,131.38,1
1.65,131.42,1
3.07,131.62,2
7.01,131.8,2
0.74,131.95,1
3.8,132.03,2
2.1,132.2,2
2.84,132.34,2
0.95,132.39,1
0.88,132.42,1
5.81,132.57,2
1.04,132.62,1
0,132.71,1
2.32,132.97,2
1.01,133.09,1
2.94,133.97,2
4.2,134.02,2
3.9,134.04,2
0.53,134.26,1
2.32,134.3,2
1.46,134.32,1
5.25,134.43,2
0,134.48,1
4.64,134.54,2
2.77,134.77,2
2.03,134.8,2
0,134.92,1
0,135.45,1
4.4,135.58,2
2.78,135.67,2
4.5,135.72,2
3.6,135.73,2
5.9,135.77,2
4.25,136.01,2
5.77,136.48,2
4.67,136.64,2
1.76,136.65,2
3.27,136.67,2
1.09,136.81,1
3.64,137.14,2
3.42,137.43,2
4.31,137.54,2
2.19,137.6,2
3.74,137.72,2
0,137.96,1
3.74,138.18,2
2.61,138.38,2
5.04,138.56,2
1.74,138.89,2
0,139.03,1
2.66,139.06,2
2.85,139.2,2
3.25,139.57,2
3.58,139.78,2
3.1,140.95,2
3.16,141.1,2
0.3,141.15,1
1.82,141.16,2
0.43,141.55,1
0,141.62,1
1.08,141.86,1
6.22,141.9,2
3.73,142.21,2
0,142.34,1
1.37,142.35,1
4.67,143.09,2
2.23,143.95,2
0,143.96,1
4.56,143.98,2
0,144.42,1
3.4,144.54,2
3.83,144.88,2
3.39,144.94,2
3.62,145.04,2
0.96,145.1,1
0.92,145.35,1
0,145.57,1
4.52,145.85,2
0,145.94,1
2.83,146.23,2
0,146.26,1
0.75,146.32,1
2.19,146.52,2
2.52,146.83,2
1.8,146.89,2
4.79,146.93,2
3.75,147.07,2
3.64,147.17,2
4.69,147.35,2
5.72,147.37,2
5.59,147.57,2
5.4,147.68,2
1.54,147.82,1
5.97,147.9,2
0.47,148.05,1
2.86,148.09,2
6.03,148.13,2
3.74,148.41,2
0,148.83,1
4.22,148.83,2
3.44,148.84,2
0,148.92,1
1.12,149.06,1
7.44,149.23,2
4.17,149.24,2
2.34,149.38,2
3.09,149.38,2
5.42,149.57,2
6.36,149.69,2
2.43,149.72,2
0,149.97,1
1.99,149.98,2
2.46,150.02,2
4.25,150.05,2
0,150.22,1
4.02,150.23,2
1.49,150.41,1
2.02,150.97,2
0.93,151.02,1
3.32,151.46,2
4.5,151.53,2
0.97,151.61,1
1.66,151.7,1
0,151.98,1
2.51,152.13,2
3.1,152.19,2
0.43,152.41,1
4.1,152.44,2
1.24,152.56,1
0,152.73,1
5.77,152.89,2
0,153.06,1
3.64,153.23,2
3.08,153.48,2
0.71,153.54,1
3.28,153.61,2
4.04,153.98,2
5.24,154.12,2
2.38,154.29,2
1.22,154.58,1
0,155,1
4.9,155.45,2
1.29,155.75,1
1.85,155.89,2
0.6,156.11,1
3.41,156.11,2
4.18,156.14,2
1.4,156.22,1
5.87,156.22,2
3.77,156.3,2
2.25,156.5,2
1.19,157.03,1
1.75,157.13,2
2.45,157.25,2
0,157.28,1
5.63,157.61,2
2.53,157.71,2
2.63,158.06,2
1.45,158.37,1
3.53,158.76,2
3.05,158.79,2
0,158.95,1
0,158.98,1
4.78,159.28,2
0,159.52,1
4.3,159.57,2
2.35,159.87,2
1.38,159.88,1
0,160.12,1
2.55,160.13,2
3.31,160.17,2
3.53,160.23,2
0,160.28,1
3.7,160.44,2
4.05,160.48,2
4.99,160.49,2
0,160.57,1
2.52,160.64,2
2.54,160.71,2
1.42,160.79,1
2.48,160.83,2
4.72,160.92,2
1.59,161.67,1
2.09,161.72,2
2.09,161.83,2
1.01,162.07,1
2.61,162.25,2
0,162.39,1
3.49,162.42,2
5.61,162.68,2
4.2,162.84,2
5.81,162.86,2
1.08,162.92,1
5.45,162.96,2
3.67,163.38,2
0.75,163.67,1
1.7,163.72,1
1.03,163.98,1
1.43,164.05,1
3.29,164.18,2
2.08,164.51,2
4.35,164.64,2
4.94,164.82,2
1.82,164.9,2
1.67,165.45,1
4.44,165.47,2
5.39,165.81,2
0,166,1
1.53,166.28,1
5.02,166.42,2
0,166.77,1
6.64,166.87,2
3.43,167.02,2
11.1,167.07,2
2.14,167.18,2
5.66,167.66,2
2.19,167.94,2
4.35,167.94,2
0,168.16,1
1.92,168.21,2
2.03,168.25,2
0,168.7,1
4.69,168.93,2
0,168.98,1
2.18,169.03,2
1.35,169.28,1
2.19,169.31,2
3.16,169.77,2
1.84,169.87,2
6.3,170.03,2
4.07,170.66,2
4.26,170.83,2
3.69,170.89,2
1.47,170.94,1
2.25,171.12,2
5.42,171.2,2
0.89,171.32,1
1.81,171.51,2
1.38,171.62,1
3.04,171.78,2
3.07,171.79,2
4.21,172.3,2
3.98,172.42,2
3.94,173.11,2
1.02,173.24,1
0,173.75,1
0,173.77,1
0,173.78,1
2.93,174.36,2
1.19,174.49,1
4.8,174.59,2
0.85,174.95,1
3.69,174.96,2
3.55,176.05,2
2.53,176.21,2
0,176.29,1
0,176.48,1
13.33,177.04,2
2.16,177.06,2
2.36,177.1,2
2.39,177.12,2
3.29,177.29,2
0,177.58,1
0.09,177.64,1
1.76,177.69,2
4.11,177.74,2
2.73,178.04,2
0,178.19,1
4.52,178.37,2
1.96,178.43,2
1.6,178.59,1
1.66,178.61,1
2.71,178.88,2
0,178.98,1
2.72,179.35,2
2.34,179.46,2
3.57,180.24,2
1.15,180.35,1
1.55,180.65,1
0,180.66,1
2.39,180.8,2
0.92,180.84,1
1.96,181.16,2
4.06,181.25,2
4.18,181.3,2
3.03,181.55,2
1.97,182,2
1.74,182.03,2
2.9,182.09,2
0.63,182.16,1
4.11,182.35,2
0.87,182.37,1
0,182.66,1
0.75,182.96,1
4.26,183.68,2
6.37,183.93,2
2.89,184.02,2
0,184.04,1
0,184.22,1
6.06,184.76,2
5.48,184.86,2
1.29,185.17,1
2.92,185.25,2
0,185.42,1
3.77,185.66,2
2.41,185.7,2
1.1,185.83,1
4.66,185.94,2
4.2,186.32,2
1.69,186.56,1
5.13,187,2
4.48,187.37,2
2.82,187.73,2
4.33,187.75,2
1.8,188,2
0.96,189.43,1
1.86,189.63,2
5.25,189.81,2
3.9,189.97,2
1.33,189.99,1
0.59,190.05,1
2.59,190.21,2
0,190.31,1
3.65,190.43,2
0,190.56,1
1.12,190.74,1
2.13,191.03,2
0,191.5,1
2.34,191.94,2
4.58,192.09,2
0,192.14,1
2.69,192.15,2
3.75,192.26,2
2.08,192.38,2
4.39,192.51,2
2.73,193.17,2
1.32,193.24,1
1.12,193.36,1
1.29,193.67,1
5.26,194.01,2
0.88,195.18,1
2.7,195.43,2
1.86,195.68,2
1.46,195.82,1
1.66,195.98,1
2.61,196.12,2
4.55,197.09,2
3.59,197.62,2
5.26,198.48,2
5.71,198.52,2
0,198.6,1
3.7,198.75,2
3.58,198.77,2
0,199.18,1
2.55,199.18,2
2.61,199.33,2
1.94,199.78,2
2.55,199.88,2
0,200.05,1
1.22,200.2,1
4.38,200.45,2
2.05,201.06,2
5.51,201.17,2
3.29,201.2,2
0,201.28,1
3.56,201.65,2
2.87,202.4,2
3.73,202.41,2
4.49,202.5,2
0.13,203.13,1
1.38,203.49,1
1.58,203.55,1
2.59,203.57,2
3.25,203.69,2
2.65,203.95,2
4.04,204.98,2
3.77,205.17,2
3.72,205.51,2
5.62,205.8,2
3.14,205.84,2
1.79,205.89,2
2.99,206.01,2
5.28,206.16,2
4.65,206.21,2
5.17,206.26,2
0,206.48,1
0.84,206.57,1
1.79,206.81,2
1.75,207.18,2
1.42,207.19,1
0,207.31,1
0.72,207.72,1
2.92,207.9,2
1.69,209.68,1
3.24,210.29,2
5.42,210.44,2
1.63,210.84,1
3.9,211.39,2
1.7,211.43,1
1.14,211.44,1
3.51,211.47,2
2.1,211.66,2
0.62,211.83,1
1.31,212.18,1
2.88,212.28,2
0,212.4,1
1.08,212.83,1
5.17,212.88,2
2.53,213.4,2
5.21,213.62,2
2.85,213.81,2
2.78,213.93,2
4.61,214.12,2
0,214.14,1
4.31,214.17,2
2.69,214.36,2
1.27,214.37,1
2.62,215.19,2
0.96,215.22,1
1.72,215.63,1
1.5,215.73,1
2.34,216,2
2.94,216.28,2
3.64,216.28,2
4.19,216.31,2
2.43,216.46,2
1.17,217.11,1
3.04,217.13,2
2.82,217.6,2
