yield,current,total,roa
0,232.86,-51.2,-10.46
3.15,329.02,-31.09,10.64
0,284.37,-30.14,-4.65
0,112.45,-25.08,-6.36
0,180.66,-23.71,-6.88
4.07,170.66,-22.72,1.83
6.86,341.09,-22.1,-4.86
1.76,434.27,-21.79,-0.68
0,"2,675.96",-20.65,-11.57
0,35.85,-20.48,-3.87
0,115.29,-19.64,-1.37
0,789.71,-17.95,-8.39
1.06,385.23,-17.5,-3.41
0,449.95,-17.39,-1.28
0,160.57,-17.02,-4.03
2.96,233.06,-16.93,1.2
0,33.59,-16.75,-3.02
0,184.22,-15.76,-5.61
0,667.16,-15.6,-10.15
0,339.97,-15.41,-3.48
2.07,282.78,-15.37,-2.03
0.75,799.61,-15.33,-5.52
0,100.7,-15.32,-0.23
0,231.44,-15.17,-3.69
5.9,135.77,-15.13,1.32
3.29,201.2,-14.79,5.48
0.63,125.27,-14.66,-0.27
2.68,456.98,-14.55,7.19
0.94,17.88,-14,-3.99
0,214.14,-13.96,0.95
2.34,191.94,-13.95,-0.1
1.38,171.62,-13.89,13.27
2.36,177.1,-13.78,3.19
1.13,128.91,-13.69,2.8
5.77,136.48,-13.49,2.61
0,252.11,-13.45,-4.44
3.29,164.18,-12.74,7.13
5.81,132.57,-12.64,0.68
2.22,242.31,-12.59,-7.44
0,235.4,-12.27,3.14
1.8,188,-12.16,2.1
4.7,287.63,-12.11,-3.26
1.58,232.41,-12.08,3.28
0,118.92,-11.82,-1.36
0,242.66,-11.58,-1.93
0,109.7,-11.44,-0.39
0,662.93,-11.36,-3.42
13.33,177.04,-11.34,5.08
0,301.76,-11.3,0.46
0.83,228.6,-11.23,-0.37
0,263.43,-11.14,1.96
4.73,292.57,-11.13,4.22
0,65.13,-11.01,-2.79
0,244.84,-10.81,-2.42
0,111.03,-10.66,1.89
0,772.78,-10.66,-0.22
0,150.22,-10.4,-3.24
0,155,-10.2,0.66
0,124.92,-10.07,0.29
0,206.48,-9.98,0.31
0,90.54,-9.97,-4.45
0.32,233.91,-9.96,2.61
3.07,171.79,-9.94,0.88
5.51,201.17,-9.92,1.74
