no,EPS,debt,roa,asset,class
2745,3.11,63.21,5.51,3.77,4
8454,3.78,60.02,3.77,3.81,4
3048,0.28,80.78,1.12,3.45,4
6776,1.07,69.31,1.36,2.97,4
6997,1.66,72.76,2.48,2.6,4
8066,0.16,50.98,2.69,2.9,4
8112,0.91,73.34,1.75,3.78,4
8096,0.13,74.98,0.58,3.53,4
6248,0.7,60.3,1.52,2.76,4
2450,0.52,42.16,1.6,3.2,4
1232,1.76,29.63,3.59,2.73,4
3209,0.51,76.79,1.18,2.19,4
6721,0.79,43.18,1.61,2.89,4
6669,26.92,56.48,6.29,2.78,7
2731,3.49,61.29,3.21,2.35,4
3709,0.15,76.96,0.59,2.63,4
6118,0.05,65.61,0.14,2.7,4
2743,5.4,64.04,6.95,2.71,5
4967,4.1,74.43,3.05,1.27,4
3036,1.57,70.74,2.37,2.75,4
2414,0.56,50.87,1.22,2.51,4
3046,0.98,58.99,2.4,2.1,4
2945,0.43,67.39,0.47,2.29,4
2751,0.88,66.72,2.48,2.18,4
9962,0.07,35.29,0.3,1.48,4
2247,5.22,48,1.88,2.4,5
5609,1.58,38.43,7.07,2.52,4
6281,1.14,75.41,1.17,1.84,4
8477,-0.57,54.84,-3.93,2.29,3
5386,1.04,50.9,2.9,2.77,4
2734,0.1,59.71,0.48,2.42,4
2356,0.3,76.57,1.69,2.12,4
3702,1.16,72.95,1.99,2.23,4
2324,0.43,70.01,1.43,1.81,4
4938,1.22,57.42,2.08,1.86,4
M2329,1.17,68.87,2.18,2.25,4
2949,0.94,46.8,1.05,1.76,4
6933,1.59,44.34,3.73,1.37,4
2377,2.95,49.06,2.97,2.05,4
3312,0.58,63.58,2.39,2.2,4
6924,1.05,58.83,2.95,1.85,4
6276,-0.31,59.63,-0.92,1.67,3
9937,0.57,53.64,1.56,1.89,4
2425,0.34,30.6,1.74,1.27,4
3033,0.39,76.74,1.07,1.89,4
3231,1.24,69.48,2.47,2.09,4
3360,-0.17,59.64,-0.26,1.9,3
2376,3.18,63.75,2.34,2.29,4
6189,2.27,64.26,2.95,2.58,4
6154,0.2,35.65,0.8,1.85,4
2465,-1,71.91,-2.58,1.27,3
2347,1.32,65.37,1.77,1.95,4
5225,2.52,58.15,4.4,1.76,4
6625,1.02,43.45,2.92,1.13,4
4953,1.85,30.98,3.74,1.81,4
2941,0.9,39.17,2.53,1.6,4
7705,1.24,62.88,2.21,1.82,4
1210,1,51.7,2.71,1.55,4
